image_name,points,xi,yi,xw,yw
capture_20260622_184543_828.jpg,1,1166.0,738.0,288.0,0.0
capture_20260622_184543_828.jpg,2,882.0,753.0,288.0,80.0
capture_20260622_184543_828.jpg,3,1376.0,724.0,288.0,-60.0
capture_20260622_184543_828.jpg,4,1118.0,623.0,368.0,0.0
capture_20260622_184543_828.jpg,5,1232.0,616.0,368.0,-40.0
capture_20260622_184656_979.jpg,1,1166.0,738.0,288.0,0.0
capture_20260622_184656_979.jpg,2,1657.0,706.0,288.0,-140.0
capture_20260622_184656_979.jpg,3,1376.0,724.0,288.0,-60.0
capture_20260622_184656_979.jpg,4,1129.0,648.0,348.0,0.0
capture_20260622_184656_979.jpg,5,1202.0,671.0,,
capture_20260622_184814_571.jpg,1,1167.0,738.0,288.0,0.0
capture_20260622_184814_571.jpg,2,1235.0,733.0,288.0,-20.0
capture_20260622_184814_571.jpg,3,1094.0,741.0,288.0,20.0
capture_20260622_184814_571.jpg,4,1025.0,745.0,288.0,40.0
capture_20260622_184814_571.jpg,5,953.0,750.0,288.0,
